Flight Time Rounded (s),Thrust (lb),Accel (ft/sec^2),Weight (lb)
5.74,0,-89.97763436,36.6586
5.75,0,-89.83709499,36.6586
5.76,0,-89.69701946,36.6586
5.77,0,-89.55735922,36.6586
5.78,0,-89.41817271,36.6586
5.79,0,-89.27937201,36.6586
5.8,0,-89.14103624,36.6586
5.81,0,-89.00310393,36.6586
5.82,0,-88.86562864,36.6586
5.83,0,-88.72858609,36.6586
5.84,0,-88.59193001,36.6586
5.85,0,-88.45574697,36.6586
5.86,0,-88.31997896,36.6586
5.87,0,-88.18460541,36.6586
5.88,0,-88.04966848,36.6586
5.89,0,-87.91515555,36.6586
5.9,0,-87.78104682,36.6586
5.91,0,-87.64736458,36.6586
5.92,0,-87.51406631,36.6586
5.93,0,-87.38118299,36.6586
5.94,0,-87.24874661,36.6586
5.95,0,-87.11667376,36.6586
5.96,0,-86.98503629,36.6586
5.97,0,-86.85377305,36.6586
5.98,0,-86.72292344,36.6586
5.99,0,-86.59248961,36.6586
6,0,-86.4624419,36.6586
6.01,0,-86.33278896,36.6586
6.02,0,-86.20353981,36.6586
6.03,0,-86.07465602,36.6586
6.04,0,-85.94618709,36.6586
6.05,0,-85.81811239,36.6586
6.06,0,-85.69042199,36.6586
6.07,0,-85.56311691,36.6586
6.08,0,-85.43619656,36.6586
6.09,0,-85.30966058,36.6586
6.1,0,-85.1835093,36.6586
6.11,0,-85.05773386,36.6586
6.12,0,-84.93232359,36.6586
6.13,0,-84.80732795,36.6586
6.14,0,-84.68269616,36.6586
6.15,0,-84.55843035,36.6586
6.16,0,-84.43453815,36.6586
6.17,0,-84.31101163,36.6586
6.18,0,-84.18786008,36.6586
6.19,0,-84.06508342,36.6586
6.2,0,-83.94268191,36.6586
6.21,0,-83.82062493,36.6586
6.22,0,-83.69896346,36.6586
6.23,0,-83.57763769,36.6586
6.24,0,-83.45667564,36.6586
6.25,0,-83.33608852,36.6586
6.26,0,-83.21582625,36.6586
6.27,0,-83.09594855,36.6586
6.28,0,-82.97641743,36.6586
6.29,0,-82.8572401,36.6586
6.3,0,-82.73842795,36.6586
6.31,0,-82.61993793,36.6586
6.32,0,-82.50182585,36.6586
6.33,0,-82.38402821,36.6586
6.34,0,-82.26662504,36.6586
6.35,0,-82.14956563,36.6586
6.36,0,-82.03282101,36.6586
6.37,0,-81.91643145,36.6586
6.38,0,-81.80036698,36.6586
6.39,0,-81.68466727,36.6586
6.4,0,-81.56929284,36.6586
6.41,0,-81.45423313,36.6586
6.42,0,-81.33956906,36.6586
6.43,0,-81.22518969,36.6586
6.44,0,-81.11116396,36.6586
6.45,0,-81.01220078,36.6586
6.46,0,-80.92954513,36.6586
6.47,0,-80.84699458,36.6586
6.48,0,-80.76452784,36.6586
6.49,0,-80.68213638,36.6586
6.5,0,-80.59987852,36.6586
6.51,0,-80.51771486,36.6586
6.52,0,-80.43564614,36.6586
6.53,0,-80.35364249,36.6586
6.54,0,-80.27178441,36.6586
6.55,0,-80.18999916,36.6586
6.56,0,-80.1083092,36.6586
6.57,0,-80.02672307,36.6586
6.58,0,-79.94524117,36.6586
6.59,0,-79.86386422,36.6586
6.6,0,-79.78258186,36.6586
6.61,0,-79.70139322,36.6586
6.62,0,-79.62029949,36.6586
6.63,0,-79.53932924,36.6586
6.64,0,-79.4584556,36.6586
6.65,0,-79.37766394,36.6586
6.66,0,-79.29695802,36.6586
6.67,0,-79.21639655,36.6586
6.68,0,-79.13593023,36.6586
6.69,0,-79.05554892,36.6586
6.7,0,-78.9752511,36.6586
6.71,0,-78.89506817,36.6586
6.72,0,-78.81501023,36.6586
6.73,0,-78.73505709,36.6586
6.74,0,-78.65516793,36.6586
6.75,0,-78.57540325,36.6586
6.76,0,-78.49573337,36.6586
6.77,0,-78.41617892,36.6586
6.78,0,-78.33670859,36.6586
6.79,0,-78.25735297,36.6586
6.8,0,-78.17809223,36.6586
6.81,0,-78.09895537,36.6586
6.82,0,-78.01987479,36.6586
6.83,0,-77.94091792,36.6586
6.84,0,-77.86207549,36.6586
6.85,0,-77.78333779,36.6586
6.86,0,-77.70469555,36.6586
6.87,0,-77.62614695,36.6586
6.88,0,-77.54771288,36.6586
6.89,0,-77.46935454,36.6586
6.9,0,-77.39114015,36.6586
6.91,0,-77.31299152,36.6586
6.92,0,-77.23496606,36.6586
6.93,0,-77.15705617,36.6586
6.94,0,-77.07927026,36.6586
6.95,0,-77.00155127,36.6586
6.96,0,-76.92392504,36.6586
6.97,0,-76.84643289,36.6586
6.98,0,-76.77676719,36.6586
6.99,0,-76.70740757,36.6586
7,0,-76.63811285,36.6586
7.01,0,-76.5688823,36.6586
7.02,0,-76.49968676,36.6586
